Site,revised_AGCB_trees,"OLD_
AGCBtree (Mg/ha)",Difference
ADJU2,98.73161025,98.73161025,0
ADJU3,110.8961034,99.37582333,11.52028006
ADJU5,27.75122685,25.3381431,2.413083757
ADJU6,1.33392463,1.33392463,0
CIAL3,1.436319676,1.436319676,0
JAYU1,56.37921916,51.14292116,5.236298001
JAYU2,55.2942264,55.2942264,0
JUAN1,57.99363511,57.99363511,0
JUAN3,7.473983078,7.473983078,0
JUAN4,22.2941735,18.93896381,3.355209689
LASM1,1.706016967,1.706016967,0
LASM2,19.56399938,19.56399938,0
LASM3,83.46911598,83.46911598,0
MARI12,125.2435855,125.2435855,0
MARI13,0.50004459,0.50004459,0
MARI15,196.8318047,196.8318047,0
MARI2,0.839323314,0.495465185,0.343858129
MARI5,1.633158075,1.633158075,0
MARI6,3.944557551,1.596877795,2.347679756
MARI7,1.035580551,1.035580551,0
MARI8,0.593682994,0.593682994,0
OROC1,31.50085711,31.50085711,0
UTUA1,2.401429618,2.401429618,0
UTUA12,17.23222769,16.76735925,0.464868436
UTUA14,49.5300878,49.5300878,0
UTUA15,19.56399938,19.56399938,0
UTUA16,35.31338959,35.31338959,0
UTUA21,19.56399938,19.56399938,0
UTUA23,42.77000241,42.77000241,0
UTUA25,249.9825197,203.2847672,46.69775259
UTUA28,57.22226838,57.22226838,0
UTUA29,29.7305967,27.70069442,2.029902278
UTUA30,2.006591364,1.308380919,0.698210445
UTUA33,0.670383851,0.670383851,0
UTUA34,12.6909497,11.29860165,1.392348046
UTUA4,37.18292499,37.18292499,0
UTUA5,1.469063648,1.317308989,0.151754659
UTUA6,61.63289387,61.63289387,0
UTUA8,0.545648719,0.545648719,0
UTUA9,33.17408698,33.17408698,0
VILL1,43.87634245,43.87634245,0
YAUC3,2.832743181,2.832743181,0
YAUC4,118.3291681,121.7528453,-3.423677171
YAUC5,17.84244011,17.84244011,0
YAUC6,1.437050665,1.292515106,0.144535558
YAUC8,6.977252708,6.355355623,0.621897085
YAUC9,2.485720023,1.850525206,0.635194817
Grand Total,1772.90993,1698.280734,74.62919614
